2026-08-12T09:10:51Z | morning | no-op: no queue file found for 2026-08-12-wednesday.md
2026-08-12T11:43:29Z | morning | sent review email for 2026-08-12, thread_id=19ff5c8cc27056dc
2026-08-12T14:29:35Z | afternoon | reply received on 2026-08-12 but could not be parsed as APPROVE or labeled edits — skipped, needs Daniel's attention
2026-08-13T09:11:00Z | morning | sent review email for 2026-08-13, thread_id=19ffa638ca37df84
2026-08-13T16:15:28Z | afternoon | reply received on 2026-08-13 but could not be parsed as APPROVE or labeled edits — skipped, needs Daniel's attention
2026-08-14T09:34:12Z | morning | sent review email for 2026-08-14, thread_id=19fff9f25c5b82b8
2026-08-14T14:44:59Z UTC | afternoon | reply received on 2026-08-14 but could not be parsed as APPROVE or labeled edits — skipped, needs Daniel's attention
2026-08-14T21:40:00Z | larry-manual | manually posted 2026-08-12, 2026-08-13, 2026-08-14 to Facebook + LinkedIn after discovering 3-day parsing bug (Daniel's "Approve" replies included email signature/"Sent from my iPhone" text before the quote boundary, breaking the exact-match check) — all 6 posts verified live via read-back, not just create-call success. See SOP-020 fix for the root-cause parsing update.
2026-08-15T09:07:20Z | morning | no-op: no queue file found for 2026-08-15-saturday.md
2026-08-15T14:14:21Z UTC | afternoon | no-op: no queue file found for 2026-08-15-saturday.md (consistent with morning step's no-op — nothing to review or post today)
2026-08-16T09:08:33Z | morning | no-op: no queue file found for 2026-08-16-sunday.md
2026-08-16T14:13:19Z UTC | afternoon | no-op: no queue file found for 2026-08-16-sunday.md (consistent with morning step's no-op — nothing to review or post today)
2026-08-17T09:12:44Z | morning | no-op: no queue file found for 2026-08-17-monday.md
2026-08-18T09:07:37Z | morning | sent review email for 2026-08-18, thread_id=1a0142038063650e
2026-08-18T14:14:28Z UTC | afternoon | posted 2026-08-18's social package to Facebook + LinkedIn (Instagram remains manual, caption already delivered in the morning review email); verified via read-back: found
2026-08-19T09:08:39Z | morning | sent review email for 2026-08-19, thread_id=1a0194782b3a8821
2026-08-19T14:19:00Z UTC | afternoon | posted 2026-08-19's social package to Facebook + LinkedIn (Instagram remains manual, caption already delivered in the morning review email); verified via read-back: found
2026-08-20T09:08:07Z | morning | sent review email for 2026-08-20, thread_id=1a01e6d6aec8ec45
2026-08-20T14:24:00Z UTC | afternoon | WARNING: Facebook create-post call returned "An unknown error occurred" but the post HAD actually been created — read-back found post 431721883365241_122199759770595421 (created 14:17:52Z, message + image match). Treated as success, did NOT retry (a retry would have duplicated the public post). LinkedIn was posted after this as a first attempt, no duplicate risk.
2026-08-20T14:24:00Z UTC | afternoon | posted 2026-08-20's social package to Facebook + LinkedIn (Instagram remains manual, caption already delivered in the morning review email); verified via read-back: found
2026-08-21T09:09:19Z | morning | sent review email for 2026-08-21, thread_id=1a02394df0b51889
2026-08-21T14:19:12Z UTC | afternoon | posted 2026-08-21's social package to Facebook + LinkedIn (Instagram remains manual, caption already delivered in the morning review email); verified via read-back: found
2026-08-22T09:07:32Z | morning | no-op: no queue file found for 2026-08-22-saturday.md
2026-08-22T14:09:14Z UTC | afternoon | no-op: no queue file found for 2026-08-22-saturday.md (consistent with morning step's no-op — nothing to review or post today)
2026-08-23T09:07:05Z | morning | no-op: no queue file found for 2026-08-23-sunday.md
2026-08-23T14:08:37Z UTC | afternoon | no-op: no queue file found for 2026-08-23-sunday.md (consistent with morning step's no-op — nothing to review or post today)
2026-08-24T09:07:51Z | morning | no-op: no queue file found for 2026-08-24-monday.md
2026-08-24T14:17:00Z UTC | afternoon | no-op: no queue file found for 2026-08-24-monday.md (consistent with morning step's no-op — nothing to review or post today)
2026-08-25T09:08:56Z | morning | sent review email for 2026-08-25, thread_id=1a0382df58e17344
2026-08-25T14:24:55Z UTC | afternoon | posted 2026-08-25's social package to Facebook + LinkedIn (Instagram remains manual, caption already delivered in the morning review email); verified via read-back: found
2026-08-26T09:10:19Z | morning | sent review email for 2026-08-26, thread_id=1a03d5592f291511
2026-08-26T14:20:29Z UTC | afternoon | posted 2026-08-26's social package to Facebook + LinkedIn (Instagram remains manual, caption already delivered in the morning review email); verified via read-back: found
2026-08-27T09:10:07Z | morning | sent review email for 2026-08-27, thread_id=1a0427bc6c8cd5e8
2026-08-27T14:23:25Z UTC | afternoon | posted 2026-08-27's social package to Facebook + LinkedIn (Instagram remains manual, caption already delivered in the morning review email); verified via read-back: found
2026-08-28T09:12:49Z | morning | sent review email for 2026-08-28, thread_id=1a047a49b887b76b
2026-08-28T14:23:56Z UTC | afternoon | posted 2026-08-28's social package to Facebook + LinkedIn (Instagram remains manual, caption already delivered in the morning review email); verified via read-back: found
2026-08-29T09:06:48Z | morning | no-op: no queue file found for 2026-08-29-saturday.md
2026-08-29T14:10:01Z UTC | afternoon | no-op: no queue file found for 2026-08-29-saturday.md (consistent with morning step's no-op — nothing to review or post today)
2026-08-30T09:07:23Z | morning | no-op: no queue file found for 2026-08-30-sunday.md
2026-08-30T14:12:00Z UTC | afternoon | no-op: no queue file found for 2026-08-30-sunday.md (consistent with morning step's no-op — nothing to review or post today)
2026-08-31T09:08:57Z | morning | no-op: no queue file found for 2026-08-31-monday.md
2026-08-31T14:21:28Z UTC | afternoon | no-op: no queue file found for 2026-08-31-monday.md (consistent with morning step's no-op — nothing to review or post today)
2026-09-01T09:09:18Z UTC | morning | sent review email for 2026-09-01, thread_id=1a05c3ac6d638455
2026-09-03T14:18:59Z UTC | afternoon | posted 2026-09-03's social package to Facebook + LinkedIn (Instagram remains manual, caption already delivered in the morning review email); verified via read-back: found
